+Linda ,Stream Count: 627234
10 ,Stream Count: 662968
21 ,Stream Count: 720159
7 Summers ,Stream Count: 689043
7 rings ,Stream Count: 799560
ADMV ,Stream Count: 731463
Adore You ,Stream Count: 1324203
After Party ,Stream Count: 826162
Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie ,Stream Count: 1784693
Ain't It Different (feat. AJ Tracey & Stormzy) ,Stream Count: 674426
Alane ,Stream Count: 661081
All Girls Are The Same ,Stream Count: 814256
All of Me ,Stream Count: 704590
Anaranjado ,Stream Count: 631534
Are You Bored Yet? (feat. Clairo) ,Stream Count: 810861
Ay ,Stream Count: 2415107
Ayer Me Llamó Mi Ex (feat. Lenny Santos) ,Stream Count: 1456014
Azul ,Stream Count: 925417
Ballin' (with Roddy Ricch) ,Stream Count: 625490
Bande organisée ,Stream Count: 939759
Bandit (with YoungBoy Never Broke Again) ,Stream Count: 641824
Be Alright ,Stream Count: 691377
Be Kind (with Halsey) ,Stream Count: 1090864
Be Like That - feat. Swae Lee & Khalid ,Stream Count: 937674
Beautiful People (feat. Khalid) ,Stream Count: 735483
Before You Go ,Stream Count: 1841944
Believer ,Stream Count: 914204
Blastoff (feat. Juice Wrld & Trippie Redd) ,Stream Count: 1102605
Blinding Lights ,Stream Count: 3827733
Blueberry Faygo ,Stream Count: 1599384
Bohemian Rhapsody - 2011 Mix ,Stream Count: 726747
Boss Bitch ,Stream Count: 705763
Boy With Luv (feat. Halsey) ,Stream Count: 740809
Break My Heart ,Stream Count: 1601897
Breaking Me ,Stream Count: 2425804
Bruises ,Stream Count: 667827
Caramelo ,Stream Count: 1970350
Caramelo - Remix ,Stream Count: 823739
Chicago Freestyle (feat. Giveon) ,Stream Count: 790590
Circles ,Stream Count: 1345363
Come & Go (with Marshmello) ,Stream Count: 2140858
Conversations ,Stream Count: 815624
Cry About It Later ,Stream Count: 656213
CÓMO SE SIENTE - Remix ,Stream Count: 772313
DOLLAZ ON MY HEAD (feat. Young Thug) ,Stream Count: 768416
Dance Monkey ,Stream Count: 1948398
Dior ,Stream Count: 1012847
